repository_name,type,event_date,total_events
BVLC/caffe,IssueCommentEvent,2017-06-10,3
BVLC/caffe,IssueCommentEvent,2017-08-19,3
BVLC/caffe,IssueCommentEvent,2018-01-20,3
BVLC/caffe,IssueCommentEvent,2017-09-09,3
BVLC/caffe,IssueCommentEvent,2017-07-23,3
BVLC/caffe,IssueCommentEvent,2016-07-09,3
BVLC/caffe,IssueCommentEvent,2017-11-16,3
BVLC/caffe,IssueCommentEvent,2017-01-01,3
BVLC/caffe,IssueCommentEvent,2017-07-01,3
BVLC/caffe,IssueCommentEvent,2017-04-18,3
BVLC/caffe,IssueCommentEvent,2017-07-15,3
BVLC/caffe,IssueCommentEvent,2017-08-20,3
BVLC/caffe,IssueCommentEvent,2016-06-10,3
BVLC/caffe,IssueCommentEvent,2018-05-16,3
BVLC/caffe,IssueCommentEvent,2018-05-31,3
BVLC/caffe,IssueCommentEvent,2017-11-25,3
BVLC/caffe,IssueCommentEvent,2016-01-03,3
BVLC/caffe,IssueCommentEvent,2015-12-26,3
BVLC/caffe,IssueCommentEvent,2018-01-19,3
BVLC/caffe,IssueCommentEvent,2016-08-07,3
BVLC/caffe,WatchEvent,2015-04-18,3
BVLC/caffe,IssueCommentEvent,2018-03-21,3
BVLC/caffe,IssueCommentEvent,2018-05-28,3
BVLC/caffe,IssueCommentEvent,2018-04-22,3
BVLC/caffe,IssueCommentEvent,2017-01-21,3
BVLC/caffe,WatchEvent,2015-01-01,3
BVLC/caffe,IssueCommentEvent,2017-11-04,3
BVLC/caffe,IssueCommentEvent,2016-08-13,3
BVLC/caffe,IssueCommentEvent,2017-06-05,3
BVLC/caffe,IssueCommentEvent,2018-06-22,3
BVLC/caffe,IssueCommentEvent,2017-11-05,3
BVLC/caffe,IssueCommentEvent,2018-03-31,3
BVLC/caffe,IssueCommentEvent,2015-10-03,3
BVLC/caffe,IssueCommentEvent,2016-12-11,3
BVLC/caffe,IssueCommentEvent,2017-05-21,3
BVLC/caffe,IssueCommentEvent,2018-04-23,3
BVLC/caffe,IssueCommentEvent,2017-02-13,3
BVLC/caffe,IssueCommentEvent,2017-10-25,3
BVLC/caffe,IssueCommentEvent,2016-10-23,3
BVLC/caffe,IssueCommentEvent,2016-08-12,3
BVLC/caffe,IssueCommentEvent,2018-05-23,3
BVLC/caffe,IssueCommentEvent,2017-08-18,3
BVLC/caffe,IssueCommentEvent,2016-10-02,3
BVLC/caffe,IssueCommentEvent,2017-09-24,3
BVLC/caffe,IssueCommentEvent,2018-06-14,3
BVLC/caffe,IssueCommentEvent,2017-08-05,3
BVLC/caffe,IssueCommentEvent,2018-01-07,3
BVLC/caffe,IssueCommentEvent,2018-06-25,4
BVLC/caffe,IssueCommentEvent,2017-11-26,4
